subject,grade,item,p_all,p_treated,p_control,observed_correct_all,observed_correct_treated,observed_correct_control,response_rate_all,response_rate_treated,response_rate_control,missing_rate_all,corrected_item_total,ctt_flag_treated,ctt_flag_all,irt_constant_excluded,item_label,irt_discrimination,irt_difficulty,irt_flag,treated_minus_control,review_bucket,observed_minus_scored_treated,recommendation,recommendation_reason,reason_rank,recommendation_priority,priority_order
French,3,f280,0.27,0.2,0.34,0.323353293413174,0.222222222222222,0.441558441558442,0.835,0.9,0.77,0.165,0.612791866719442,in_range,in_range,False,LIS LES PHRASES SUIVANTES :fruits,1.0,1.45992344711249,in_range,-0.14,treated_below_control,0.0222222222222219,replace,treated_below_control_anomaly,1,1,1
Maths,2,m239_nv2,0.385,0.22,0.55,0.413978494623656,0.236559139784946,0.591397849462366,0.93,0.93,0.93,0.07,0.395637895201134,in_range,in_range,False,12 × 4,1.00044243914808,0.576361357707725,in_range,-0.33000000000000007,treated_below_control,0.0165591397849459,replace,treated_below_control_anomaly,1,1,1
Maths,2,m240_nv3,0.415,0.27,0.56,0.451086956521739,0.293478260869565,0.608695652173913,0.92,0.92,0.92,0.08,0.371045816766161,in_range,in_range,False,43 x 2,0.941014719704071,0.444739780171323,in_range,-0.29000000000000004,treated_below_control,0.023478260869565,replace,treated_below_control_anomaly,1,1,1
Maths,3,m275,0.28643216080402,0.222222222222222,0.35,0.367741935483871,0.265060240963855,0.486111111111111,0.778894472361809,0.838383838383838,0.72,0.221105527638191,0.543874754558064,in_range,in_range,False,The students of the third level at the school created a garden in the shape of a,1.98784678173998,0.719681620558068,in_range,-0.127777777777778,treated_below_control,0.042838018741633,replace,treated_below_control_anomaly,1,1,1
Maths,3,m278_nv3,0.663316582914573,0.585858585858586,0.74,0.763005780346821,0.69047619047619,0.831460674157303,0.869346733668342,0.848484848484849,0.89,0.130653266331658,0.499299747184058,in_range,in_range,False,What is the title of the story that was read by 1 student only?,1.82362962266419,-0.566442653862514,in_range,-0.15414141414141402,treated_below_control,0.104617604617604,replace,treated_below_control_anomaly,1,1,1
Maths,4,m294_nv3,0.495,0.43,0.56,0.50253807106599,0.434343434343434,0.571428571428572,0.985,0.99,0.98,0.015,0.409536971453354,in_range,in_range,False,3/5 + 1/5 =,1.07566275617712,0.038566720574698,in_range,-0.13000000000000006,treated_below_control,0.0043434343434339,replace,treated_below_control_anomaly,1,1,1
Maths,6,m620y3_nv3,0.140540540540541,0.0666666666666667,0.210526315789474,0.179310344827586,0.0857142857142857,0.266666666666667,0.783783783783784,0.777777777777778,0.789473684210526,0.216216216216216,0.364762756044356,very_hard,in_range,False,Conclude the size of the angle ACB,1.0,2.60158324522836,very_hard,-0.1438596491228073,hard_high_coverage,0.019047619047619,replace,treated_below_control_anomaly,1,1,1
Maths,6,m68y3_nv3,0.162162162162162,0.1,0.221052631578947,0.184049079754601,0.111111111111111,0.25609756097561,0.881081081081081,0.9,0.863157894736842,0.118918918918919,0.490629166582109,very_hard,in_range,False,8/5+7/4=,1.0,2.37511597260699,very_hard,-0.121052631578947,hard_high_coverage,0.0111111111111109,replace,treated_below_control_anomaly,1,1,1
Arabic,5,a2164_nv,0.0358974358974359,0.0421052631578947,0.03,0.0432098765432099,0.0493827160493827,0.0370370370370371,0.830769230769231,0.852631578947368,0.81,0.169230769230769,0.171458268337475,very_hard,very_hard,False,Understanding informational texts: Put an X in front of all the similarities. 6,0.952196675225828,3.86492808550302,very_hard,0.012105263157894702,hard_high_coverage,0.0072774528914879,replace,too_hard_replace,2,1,1
Maths,4,m295_nv3,0.075,0.05,0.1,0.0815217391304348,0.0537634408602151,0.10989010989011,0.92,0.93,0.91,0.08,0.258607041715175,very_hard,very_hard,False,"Hamid works five days a week. Each day he works, he earns 65 dirhams. ✓ Calculat",1.33371187138325,2.36036165911619,very_hard,-0.05,hard_high_coverage,0.0037634408602151,replace,too_hard_replace,2,1,1
Maths,5,m2119_nv3,0.0578947368421053,0.0444444444444444,0.07,0.0607734806629835,0.0470588235294117,0.0729166666666667,0.952631578947368,0.944444444444444,0.96,0.0473684210526316,0.310733098940553,very_hard,very_hard,False,5/3  + 3/2 =,2.60357737110858,1.84132443341422,in_range,-0.02555555555555561,hard_high_coverage,0.0026143790849673,replace,too_hard_replace,2,1,1
Maths,5,m2120_nv3,0.0526315789473684,0.0555555555555556,0.05,0.0558659217877095,0.0595238095238095,0.0526315789473684,0.942105263157895,0.933333333333333,0.95,0.0578947368421052,0.266330299485323,very_hard,very_hard,False,9/5 - 1/2 =,2.23828801460536,2.0075377449267,very_hard,0.005555555555555598,hard_high_coverage,0.0039682539682538,replace,too_hard_replace,2,1,1
Maths,5,m2121_nv,0.0315789473684211,0.0555555555555556,0.01,0.0338983050847458,0.0595238095238095,0.010752688172043,0.931578947368421,0.933333333333333,0.93,0.0684210526315789,0.194394124719328,very_hard,very_hard,False,2/5 + 1/10 =,1.51755623609215,2.83686316811805,very_hard,0.0455555555555556,hard_high_coverage,0.0039682539682538,replace,too_hard_replace,2,1,1
Maths,6,m610y3_nv3,0.0432432432432432,0.0555555555555556,0.0315789473684211,0.0512820512820513,0.0617283950617284,0.04,0.843243243243243,0.9,0.789473684210526,0.156756756756757,0.383978938868487,very_hard,very_hard,False,"Put in ascending order: 12,315; 12+3/100; 12; 121/10, 12,3",1.0,4.21825850124123,very_hard,0.0239766081871345,hard_high_coverage,0.0061728395061727,replace,too_hard_replace,2,1,1
Arabic,1,a118y3_nv3,0.94413407821229,0.968421052631579,0.916666666666667,0.94413407821229,0.968421052631579,0.916666666666667,1.0,1.0,1.0,0.0,0.566422869000966,very_easy,very_easy,False,Read the letters,1.0,-4.47346974903401,very_easy,0.051754385964912,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,1,a115y3_nv3,0.94413407821229,0.978947368421053,0.904761904761905,0.94413407821229,0.978947368421053,0.904761904761905,1.0,1.0,1.0,0.0,0.529415933362669,very_easy,very_easy,False,Read the letters,1.0,-4.47346974903401,very_easy,0.07418546365914802,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
Arabic,1,a117y3_nv3,0.949720670391061,0.978947368421053,0.916666666666667,0.955056179775281,0.978947368421053,0.927710843373494,0.994413407821229,1.0,0.988095238095238,0.005586592178771,0.488745182003181,very_easy,very_easy,False,Read the letters,1.0,-4.6334019367293,very_easy,0.06228070175438605,easy_high_coverage,0.0,replace,shared_ceiling_limited_incremental_value,4,1,1
