"item","irt_discrimination","irt_difficulty","subject","grade","irt_flag","item_label"
"a110y3_nv3",1,0.249023684538948,"Arabic",1,"in_range","Listen to the story, and answer the question: Who fell in the pit ?"
"a111y3_nv3",1,-0.290497981268812,"Arabic",1,"in_range","Listen to the story, and answer the question: How did the cat get out of the pit"
"a112y3_nv3",1,0.982267827530322,"Arabic",1,"in_range","Put the pictures in the right order. (Animals helping a cat)"
"a113y3_nv3",1,-3.81638070465932,"Arabic",1,"very_easy","Read the letters"
"a114y3_nv3",1,-4.05632341932276,"Arabic",1,"very_easy","Read the letters"
"a115y3_nv3",1,-4.47346974903401,"Arabic",1,"very_easy","Read the letters"
"a116y3_nv3",1,-2.50958742069487,"Arabic",1,"very_easy","Read the letters"
"a117y3_nv3",1,-4.6334019367293,"Arabic",1,"very_easy","Read the letters"
"a118y3_nv3",1,-4.47346974903401,"Arabic",1,"very_easy","Read the letters"
"a119y3_nv3",1,-4.47346974903401,"Arabic",1,"very_easy","Read the letters"
"a11y3_nv3",1,-2.24566830947271,"Arabic",1,"very_easy","Describe what you see in the picture: What is the boy holding ?"
"a120y3_nv3",1,-3.12566339356809,"Arabic",1,"very_easy","Read the letters"
"a121y3_nv3",1,-3.49675582807288,"Arabic",1,"very_easy","Read the letters"
"a122y3_nv3",1,-5.45890292137282,"Arabic",1,"very_easy","Read the letters"
"a123y3_nv3",1,-2.8781552644858,"Arabic",1,"very_easy","Read the letters"
"a124y3_nv3",1,-4.05632341932276,"Arabic",1,"very_easy","Read the letters"
"a125y3_nv3",1,-3.30452024558796,"Arabic",1,"very_easy","Read the words"
"a126y3_nv3",1,-2.72483819236187,"Arabic",1,"very_easy","Read the words"
"a127y3_nv3",1,-2.50958742069487,"Arabic",1,"very_easy","Read the words"
"a128y3_nv3",1,-1.72539851298419,"Arabic",1,"in_range","Read the words"
"a129y3_nv3",1,-1.46962516909694,"Arabic",1,"in_range","Read the words"
"a12y3_nv3",1,0.143480380278364,"Arabic",1,"in_range","Describe what you see in the picture: What is the boy doing ?"
"a130y3_nv3",1,-1.83366629699128,"Arabic",1,"in_range","Read the words"
"a131y3_nv3",1,-2.24566830947271,"Arabic",1,"very_easy","Read the words"
"a132y3_nv3",1,-2.06219861581046,"Arabic",1,"very_easy","Read the words"
"a133y3_nv3",1,-1.32503765177522,"Arabic",1,"in_range","Read the words"
"a134y3_nv3",1,-1.88923181208863,"Arabic",1,"in_range","Read the words"
"a135y3_nv3",1,-1.37256326314561,"Arabic",1,"in_range","Read the words"
"a136y3_nv3",1,-1.83366629699128,"Arabic",1,"in_range","Read the words"
"a137y3_nv3",1,-1.23186527804321,"Arabic",1,"in_range","Read the words"
"a138y3_nv3",1,-1.94581029572145,"Arabic",1,"in_range","Read the words"
"a139y3_nv3",1,-1.14103566564481,"Arabic",1,"in_range","Read the words"
"a13y3_nv3",1,-3.70507542974331,"Arabic",1,"very_easy","Describe what you see in the picture: Where is the boy going?"
"a140y3_nv3",1,-1.51921804755202,"Arabic",1,"in_range","Read the words"
"a141y3_nv3",1,-1.27814671370341,"Arabic",1,"in_range","Read the words"
"a142y3_nv3",1,-1.51921804755202,"Arabic",1,"in_range","Read the words"
"a143y3_nv3",1,-1.62067991018511,"Arabic",1,"in_range","Read the words"
"a144y3_nv3",1,-1.72539851298419,"Arabic",1,"in_range","Read the words"
"a14y3_nv3",1,-0.596515626953162,"Arabic",1,"in_range","Describe what you see in the picture: What is the girl celebrating ?"
"a15y3_nv3",1,-1.09644237397159,"Arabic",1,"in_range","Describe what you see in the picture: How old is the girl ?"
"a16y3_nv3",1,-3.21355910492431,"Arabic",1,"very_easy","Describe what you see in the picture: Who is the girl celebrating with ?"
"a17y3_nv3",1,-3.04059811324371,"Arabic",1,"very_easy","Listen to the story, and answer the question: Where does Safouane feel pain ?"
"a18y3_nv3",1,-2.30943776780012,"Arabic",1,"very_easy","Listen to the story, and answer the question: Why did Safouane's teeth get full"
"a19y3_nv3",1,-0.32785452154367,"Arabic",1,"in_range","Put the pictures in the right order. (A Boy visiting the dentist)"
"a245y3_nv3",1,-0.557282845478854,"Arabic",1,"in_range","Read the text"
"a246y3_nv3",1,-1.46962516909694,"Arabic",1,"in_range","write with the diacritical marks (vowel signs): he embarked"
"a247y3_nv3",1,0.0370110173837182,"Arabic",1,"in_range","write with the diacritical marks (vowel signs): a cup"
"a248y3_nv3",1,0.666764616311241,"Arabic",1,"in_range","write with the diacritical marks (vowel signs): Salim"
"a249y3_nv3",1,-0.106821087044638,"Arabic",1,"in_range","write with the diacritical marks (vowel signs): a flag"
"a250y3_nv3",1,-0.403276242155805,"Arabic",1,"in_range","write with the diacritical marks (vowel signs): a win"
"a251y3_nv3",1,-0.32785452154367,"Arabic",1,"in_range","Describe what you see on the pictures (A girl drinking milk)"
"a522y3_nv3",1,-0.290497981268812,"Arabic",1,"in_range","Describe what you see on the pictures (A boy painting)"
"a14y3_nv3",1,-2.4598751573949,"Arabic",2,"very_easy","Describe what you see in the picture: What is the girl celebrating ?"
"a15y3_nv3",1,-2.40710852692351,"Arabic",2,"very_easy","Describe what you see in the picture: How old is the girl ?"
"a16y3_nv3",1,-2.81397952734947,"Arabic",2,"very_easy","Describe what you see in the picture: Who is the girl celebrating with ?"
"a214_nv",1,-3.67032533114045,"Arabic",2,"very_easy","Read the letters"
"a215",1,-4.6976000581069,"Arabic",2,"very_easy","Read the letters"
"a217",1,-5.00566124547638,"Arabic",2,"very_easy","Read the letters"
"a218",1,-4.6976000581069,"Arabic",2,"very_easy","Read the letters"
"a219_nv",1,-3.02373035147347,"Arabic",2,"very_easy","Read the letters"
"a236_nv",1,-1.38571671151937,"Arabic",2,"in_range","Producing narrative sentences and connecting them based on comments on pictures."
"a237_nv",1,-0.649773980517635,"Arabic",2,"in_range","Producing narrative sentences and connecting them based on comments on pictures."
"a238",1,-0.621393008425517,"Arabic",2,"in_range","Producing narrative sentences based on comments on pictures. (Salma chose a yell"
"a239",1,-0.425739362450484,"Arabic",2,"in_range","Producing narrative sentences based on comments on pictures. (In the end, Salma'"
"a251",1,0.608607491789198,"Arabic",2,"in_range","Reading comprehension text .Put a mark (X) in front of the correct answer that e"
