"subject","grade","irt_model_used_refit","irt_items_fit_refit","irt_constant_items_excluded_refit","irt_converged_refit","irt_fit_reason_refit"
"Arabic",1,"1PL",52,0,TRUE,"2PL_failed: 2PL_bad_discrimination | 1PL: ok"
"Arabic",2,"1PL",32,0,TRUE,"2PL_failed: not_converged | 1PL: ok"
"Arabic",3,"2PL",31,0,TRUE,"ok"
"Arabic",4,"2PL",33,0,TRUE,"ok"
"Arabic",5,"2PL",32,0,TRUE,"ok"
"Arabic",6,"2PL",35,0,TRUE,"ok"
"French",1,"1PL",49,0,TRUE,"2PL_failed: not_converged | 1PL: ok"
"French",2,"2PL",50,0,TRUE,"ok"
"French",3,"1PL",50,0,TRUE,"2PL_failed: 2PL_bad_discrimination | 1PL: ok"
"French",4,"2PL",32,0,TRUE,"ok"
"French",5,"1PL",32,0,TRUE,"2PL_failed: 2PL_bad_discrimination | 1PL: ok"
"French",6,"2PL",32,0,TRUE,"ok"
"Maths",1,"2PL",26,0,TRUE,"ok"
"Maths",2,"2PL",28,0,TRUE,"ok"
"Maths",3,"2PL",29,0,TRUE,"ok"
"Maths",4,"2PL",29,0,TRUE,"ok"
"Maths",5,"2PL",31,0,TRUE,"ok"
"Maths",6,"1PL",26,0,TRUE,"2PL_failed: not_converged | 1PL: ok"
