priority,subject,boundary,action,item,source_grade,carry_direction,p_treated,p_control,response_rate,citc,question_text,rationale
critical,Arabic,g1-g2,add_new_anchor,a245y3_nv3,1,"Grade 1 -> Grade 2",0.736842,0.476190,0.905028,0.701004,"Read the text","Harder end of the Grade 1 form with very strong discrimination and good completion; should anchor the upper end of Grade 1 without immediately collapsing to ceiling like the current shared items."
critical,Arabic,g1-g2,add_new_anchor,a247y3_nv3,1,"Grade 1 -> Grade 2",0.684211,0.345238,0.916201,0.575998,"write with the diacritical marks (vowel signs): a cup","Structured writing item with good spread and high completion; likely to travel better across Grades 1-2 than the current very easy oral/shared items."
critical,Arabic,g1-g2,add_new_anchor,a249y3_nv3,1,"Grade 1 -> Grade 2",0.652632,0.428571,0.916201,0.652151,"write with the diacritical marks (vowel signs): a flag","Another functional Grade 1 writing item with strong discrimination; adds a second comparable anchor in the same skill family."
critical,Arabic,g1-g2,add_new_anchor,a251y3_nv3,1,"Grade 1 -> Grade 2",0.715789,0.428571,0.877095,0.648282,"Describe what you see on the pictures (A girl drinking milk)","Productive oral/comprehension item that is still challenging in Grade 1 and should give the edge more range than the current shared prompt set."
strengthen,Arabic,g2-g3,retain_existing_anchor,a261_nv,2,"Already shared",0.530000,0.200000,0.950000,0.495594,"Composing simple sentences based on untidy words: Where do you practice your favourite hobby","One of only two current anchors that already works across Grades 2-3; keep it."
strengthen,Arabic,g2-g3,retain_existing_anchor,a324y3_nv3,2,"Already shared",0.580000,0.400000,0.970000,0.456425,"Composing simple sentences based on untidy words: The birds fly above the tree","Current shared anchor that survives the edge; keep it."
strengthen,Arabic,g2-g3,add_new_anchor,a251,2,"Grade 2 -> Grade 3",0.530000,0.250000,0.965000,0.413910,"Reading comprehension text. Put a mark (X) in front of the correct answer that explains what Meryem was writing about","Selected-response comprehension item with strong completion and non-extreme difficulty; a good candidate to broaden the anchor set beyond production tasks."
strengthen,Arabic,g2-g3,add_new_anchor,a263_nv3,2,"Grade 2 -> Grade 3",0.490000,0.470000,0.860000,0.649296,"Bridging the events of the story, based on sequential images. (when they arrived, Salma swam with her brother)","Excellent discrimination and mid-range difficulty; should strengthen the edge if the same scoring rubric is kept in Grade 3."
strengthen,Arabic,g2-g3,add_new_anchor,a322y3_nv3,2,"Grade 2 -> Grade 3",0.580000,0.610000,0.990000,0.531521,"write this word (dictation word) with the diacritical marks (vowel signs) (Salim)","Very high completion and good discrimination; useful as a more structured writing anchor if the team wants one lower-inference item."
strengthen,Arabic,g5-g6,retain_existing_anchor,a2145_nv,5,"Already shared",0.557895,0.410000,0.948718,0.493093,"Take the floor and speak freely about convincing a friend to not leave school :Fluency","This is one of the few anchors that currently links Grades 5-6; keep it."
