"item","item_label","p_treated_g1","p_control_g1","response_rate_g1","corrected_item_total_g1","irt_difficulty_g1","irt_discrimination_g1","p_treated_g2","p_control_g2","response_rate_g2","corrected_item_total_g2","irt_difficulty_g2","irt_discrimination_g2","subject","grade_pair","anchor_flag","treated_p_swing"
"a14y3_nv3","Describe what you see in the picture: What is the girl celebrating ?",0.6,0.642857142857143,0.93854748603352,0.30569195812869,-0.596515626953162,1,0.91,0.83,0.98,0.381097321412918,-2.4598751573949,1,"Arabic","g1-g2","extreme_anchor",0.31
"a15y3_nv3","Describe what you see in the picture: How old is the girl ?",0.8,0.55952380952381,0.972067039106145,0.363274121045,-1.09644237397159,1,0.9,0.83,0.99,0.381890591732935,-2.40710852692351,1,"Arabic","g1-g2","extreme_anchor",0.1
"a16y3_nv3","Describe what you see in the picture: Who is the girl celebrating with ?",0.947368421052632,0.80952380952381,0.983240223463687,0.454411893228823,-3.21355910492431,1,0.92,0.88,0.99,0.275244115558946,-2.81397952734947,1,"Arabic","g1-g2","extreme_anchor",-0.0273684210526315
"a214_nv","Read the letters",0.98,0.92,0.985,0.259882875008801,-3.67032533114045,1,0.98,0.97,0.995,0.16783878517561,-3.09966646283413,1.5352588760985,"Arabic","g2-g3","extreme_anchor",0
"a215","Read the letters",0.99,0.97,1,0.15251129890514,-4.6976000581069,1,1,0.98,1,0.169417855445184,-2.6630001882598,4.05487776338805,"Arabic","g2-g3","extreme_anchor",0.01
"a217","Read the letters",1,0.97,0.99,0.177719438468647,-5.00566124547638,1,0.99,0.96,0.995,0.103708944419075,-4.57035006024324,0.8842325274382,"Arabic","g2-g3","extreme_anchor",-0.01
"a218","Read the letters",0.99,0.97,0.99,0.285757580895311,-4.6976000581069,1,1,0.94,0.995,0.247774437305961,-2.58015424441323,2.0346654498268,"Arabic","g2-g3","extreme_anchor",0.01
"a219_nv","Read the letters",0.96,0.87,0.995,0.190316062549901,-3.02373035147347,1,0.97,0.92,1,0.293226907861462,-2.23517380836115,1.89688709677013,"Arabic","g2-g3","extreme_anchor",0.01
"a236_nv","Producing narrative sentences and connecting them based on comments on pictures.",0.77,0.71,0.94,0.566205499415276,-1.38571671151937,1,0.87,0.76,0.995,0.369851577191356,-1.45018966760775,1.34516295278419,"Arabic","g2-g3","extreme_anchor",0.1
"a237_nv","Producing narrative sentences and connecting them based on comments on pictures.",0.69,0.55,0.905,0.539022383403693,-0.649773980517635,1,0.84,0.75,0.985,0.565649058930653,-0.959858439627081,2.86125273547292,"Arabic","g2-g3","extreme_anchor",0.15
"a261_nv","Composing simple sentences based on untidy words: Where do you practice your fav",0.53,0.2,0.95,0.495594207637905,0.749671670293542,1,0.58,0.32,0.93,0.639411370328115,0.17867967773056,2.39499846338706,"Arabic","g2-g3","usable_anchor",0.0499999999999999
"a324y3_nv3","Composing simple sentences based on untidy words: The birds fly above the tree",0.58,0.4,0.97,0.45642529066642,0.0631272537888931,1,0.59,0.32,0.945,0.677461495830903,0.160519087084815,2.65367828445472,"Arabic","g2-g3","usable_anchor",0.01
"a269","Producing narrative sentences based on a sequence of photos. (hunter vs. ant and",0.71,0.6,0.93,0.529440955633818,-0.555161761095416,1.67116191044475,0.79,0.76,0.96,0.471514943351601,-0.964389643380776,2.18777007381726,"Arabic","g3-g4","usable_anchor",0.0800000000000001
"a294","Composing simple sentences based on untidy words: (Wait for your turn on the lin",0.48,0.28,0.96,0.65504872340184,0.38728260892575,2.69408383595833,0.4,0.37,0.81,0.57007289031718,0.421910050311672,1.73589619497336,"Arabic","g3-g4","usable_anchor",-0.08
"a412y3_nv3","Reading comprehension text .Put (x) in front of the correct statement (What's th",0.25,0.24,0.99,0.188111032319373,2.70260403178953,0.433736902564314,0.4,0.3,0.995,0.492733994062112,0.629781991178479,1.33112805449224,"Arabic","g3-g4","usable_anchor",0.15
"a413y3_nv3","Reading comprehension text .Put (x) in front of the correct statement (Why did S",0.52,0.4,0.865,0.4560885982341,0.182221876469836,1.22976876912282,0.76,0.6,0.98,0.288371819410632,-1.29744296109914,0.631459123107449,"Arabic","g3-g4","usable_anchor",0.24
"a414y3_nv3","Reading comprehension text .Put the events in the right order. (3-4-2-1)",0.43,0.35,0.965,0.538990596240476,0.424897621818009,1.58159885697395,0.56,0.46,0.94,0.475430335501249,-0.0392852336259102,1.08412089552407,"Arabic","g3-g4","usable_anchor",0.13
"a415y3_nv3","Reading comprehension text . (Why does the sea feel sad and angry ?)",0.35,0.44,0.83,0.552675643257979,0.386544632985901,1.77768997274791,0.49,0.51,0.93,0.563173482249082,0.00925689700955896,1.52445846565703,"Arabic","g3-g4","usable_anchor",0.14
"a422y3_nv3","Composing simple sentences based on untidy words: (The kids always practice spor",0.29,0.11,0.91,0.440131446694548,1.2591029027286,1.54787168351757,0.24,0.09,0.835,0.426952707713392,1.4649773483548,1.53934423451671,"Arabic","g3-g4","usable_anchor",-0.05
"a2122","Put a mark (x) in front the correct answer: who built Badi palace?",0.54,0.47,0.98,0.446195913431428,-0.0171979364574359,1.04381159545189,0.673684210526316,0.61,0.97948717948718,0.397724413241203,-0.686819295702175,1.00112153273346,"Arabic","g4-g5","usable_anchor",0.133684210526316
"a2123","From where did the Koutoubia Mosque get its name",0.38,0.27,0.78,0.580490450909171,0.652042385412882,1.7152412554584,0.663157894736842,0.57,0.923076923076923,0.532825783823523,-0.415038024063469,1.52099233193275,"Arabic","g4-g5","usable_anchor",0.283157894736842
"a2130_nv","Writing an argumentative text about usage of internet : Write 2 Benefits of inte",0.33,0.22,0.58,0.542227228521868,0.812992737290322,1.93421229114673,0.463157894736842,0.39,0.584615384615385,0.605482866958528,0.257082909512932,2.54959404903358,"Arabic","g4-g5","low_coverage_anchor",0.133157894736842
"a519y3_nv3","Extract from the text 3 historical monuments",0.36,0.31,0.85,0.581496500957783,0.608808329571797,1.74290888244245,0.452631578947368,0.39,0.856410256410256,0.575330260239333,0.290873040304634,1.94086399344206,"Arabic","g4-g5","usable_anchor",0.0926315789473685
"a2130_nv","Writing an argumentative text about usage of internet : Write 2 Benefits of inte",0.463157894736842,0.39,0.584615384615385,0.605482866958528,0.257082909512932,2.54959404903358,0.326315789473684,0.34,0.461538461538462,0.595270249134081,0.522877191195933,3.32426876045828,"Arabic","g5-g6","low_coverage_anchor",-0.136842105263158
"a2142_nv","Take the floor and speak freely about convincing a friend to not leave school :",0.88421052631579,0.81,0.964102564102564,0.460532636512119,-1.43460246541182,1.77085321107893,0.8,0.73,0.938461538461538,0.540047893400152,-0.992531678734499,1.77049233153045,"Arabic","g5-g6","extreme_anchor",-0.0842105263157894
"a2143_nv","Take the floor and speak freely about convincing a friend to not leave school :a",0.705263157894737,0.56,0.923076923076923,0.43677374425621,-0.56035065187709,1.18691866186175,0.526315789473684,0.53,0.856410256410256,0.445754250932381,-0.106192060317843,1.12155357863753,"Arabic","g5-g6","usable_anchor",-0.178947368421053
"a2144_nv","Take the floor and speak freely about convincing a friend to not leave school :",0.789473684210526,0.56,0.917948717948718,0.504640129995356,-0.646882244170407,1.51412182847486,0.673684210526316,0.49,0.861538461538462,0.408119853814842,-0.384161892462046,0.958384385358353,"Arabic","g5-g6","usable_anchor",-0.115789473684211
"a2145_nv","Take the floor and speak freely about convincing a friend to not leave school :F",0.557894736842105,0.41,0.948717948717949,0.493092975775422,0.0901826687279262,1.39452095424781,0.463157894736842,0.39,0.871794871794872,0.566076162062181,0.303970019405111,1.5736334793315,"Arabic","g5-g6","usable_anchor",-0.0947368421052631
"a2146","Take the floor and speak freely about convincing a friend to not leave school :a",0.694736842105263,0.42,0.953846153846154,0.63019567689046,-0.137008083626345,2.1498458570481,0.547368421052632,0.44,0.882051282051282,0.611465548752581,0.0661418265525656,1.91804142005242,"Arabic","g5-g6","usable_anchor",-0.147368421052632
"a2147_nv","Take the floor and speak freely about convincing a friend to not leave school :a",0.71578947368421,0.49,0.958974358974359,0.58757628385855,-0.302968558630483,1.96531497631935,0.536842105263158,0.55,0.882051282051282,0.51504919059096,-0.148552794954702,1.34729790149817,"Arabic","g5-g6","usable_anchor",-0.178947368421053
"a2160","Understanding informational texts: Why is theater called the father of the arts?",0.589473684210526,0.47,0.907692307692308,0.574247977916626,-0.0702673803246148,1.75516813580098,0.863157894736842,0.88,0.994871794871795,0.171348419253566,-3.83490964078428,0.52636318770973,"Arabic","g5-g6","extreme_anchor",0.273684210526316
"a2161","Understanding informational texts: How does theater contribute to the education",0.505263157894737,0.42,0.82051282051282,0.548965836993127,0.160555277993398,1.68834348817025,0.789473684210526,0.64,0.907692307692308,0.442242347744906,-0.921286021881804,1.26549625357965,"Arabic","g5-g6","usable_anchor",0.28421052631579
"a2162_nv","Understanding informational texts: ite what each of the images attached to the t",0.452631578947368,0.44,0.815384615384615,0.478747374704948,0.233153546231408,1.35071485076333,0.831578947368421,0.76,0.938461538461538,0.296257916370909,-1.92363712288162,0.791786859568443,"Arabic","g5-g6","extreme_anchor",0.378947368421053
"a2164_nv","Understanding informational texts: Put an X in front of all the similarities. 6",0.0421052631578947,0.03,0.830769230769231,0.171458268337475,3.86492808550302,0.952196675225828,0.505263157894737,0.53,0.97948717948718,0.159460489293931,-0.222653739907923,0.327618570110497,"Arabic","g5-g6","extreme_anchor",0.463157894736842
